site,EPS,BGNf,Hf,NDSI,rBA,ADI,AEI,pred,component1_prob,component2_prob,component3_prob,component4_prob,component5_prob
RZUF12,0.06914732197832155,-34.263066314559254,0.6734134194868635,0.9847751779619149,130.3644801809435,2.073048596245255,0.05926554437023955,4,3.621359273304204e-141,0.0,0.0,0.0,0.0
RZUF13,0.07139012316250345,-38.0392038245691,0.49424212925977395,0.9864318336051154,146.40541377127852,2.074530272286895,0.0551647827700823,4,3.634348707967786e-248,0.0,0.0,0.0,0.0
RZUG02,0.0657475621368418,-41.3455510619025,0.591294893527599,0.9635426046883255,53.863171606861854,2.077069390741615,0.037276008167074,0,1.0,0.0,0.0,0.0,0.0
RZUG03,0.0799290888398415,-42.4941480213137,0.653207157065735,0.935278485710077,29.9016255559306,2.07796130503928,0.0294292971749717,1,1.4865590319606753e-28,1.0,0.0,0.0,0.0
RZUG04,0.0857413288977182,-46.0306348347076,0.625595904152336,0.907949226085516,20.7271394356555,2.04177884618942,0.153646620712611,1,1.3264089568897255e-157,1.0,0.0,0.0,0.0
RZUG05,0.056235270782261954,-46.21092635694485,0.652092910028303,0.790192976439599,8.532583470192355,2.0764041026853803,0.043762677557492496,1,0.0,1.0,0.0,0.0,0.0
RZUG07,0.06724253833027649,-39.778781100843545,0.7175062980907869,0.8739887831975051,14.87161630115595,2.068685713269265,0.0815686907486792,1,0.0,1.0,0.0,0.0,0.0
RZUG08,0.0619447329160445,-45.866707910905546,0.697269782941365,0.836919317483428,11.2639955735372,2.05972196270607,0.1107918717603705,1,0.0,1.0,0.0,0.0,0.0
RZUG09,0.0644232332379608,-48.068578026502,0.691680807336953,0.8183730826213476,10.011735093010115,2.07112052818925,0.0699359385033219,1,0.0,1.0,0.0,0.0,0.0
RZUG10,0.0982925835895859,-31.1281526827924,0.700147797002356,0.954680893353913,43.1314965808731,2.02990565934296,0.168186660058814,1,7.227720952063223e-15,0.9999999999999929,0.0,0.0,0.0
RZUG11,0.11931144880164299,-37.7530231269088,0.6119466222247616,0.984049674842473,124.4008904176225,1.831878965477475,0.36330926553126397,4,5.95538578588247e-130,0.0,0.0,0.0,0.0
RZUG12,0.128286065496728,-41.6978251268541,0.612163317852165,0.949884986979618,38.9082007458837,1.87757699534243,0.340856116840073,1,7.408040979483451e-14,0.9999999999999254,0.0,0.0,0.0
RZUG13,0.0655574170700921,-35.38509573683785,0.7266670474841614,0.9700203102606686,65.71212313125125,2.073833985987365,0.05695058828194155,0,1.0,0.0,0.0,0.0,0.0
RZUH02,0.08747015557688831,-41.78811894449305,0.7074314572188001,0.9268594475265465,26.344611755247,2.0638225902956497,0.09810972651078564,1,2.50948907140686e-47,1.0,0.0,0.0,0.0
RZUH03,0.07012700613452275,-42.5044669457643,0.6255224439007314,0.8354380652173995,11.15484530887235,2.06491133651487,0.0914933716156899,1,0.0,1.0,0.0,0.0,0.0
RZUH04,0.0589097639962039,-31.7389173610618,0.731016547750359,0.809950027177136,9.52354794001523,2.07900204523737,0.0158546471754015,1,0.0,1.0,0.0,0.0,0.0
RZUH05,0.0900885665835599,-46.748085682555796,0.5963510260213281,0.30553070563330853,4.019083984551934,1.627388453601655,0.493853554162274,1,0.0,1.0,0.0,0.0,0.0
RZUH06,0.118559031939994,-46.2018333321384,0.641172244046284,0.939377444252075,31.9910208391116,2.04047361373106,0.154950231484672,1,4.71901169201868e-14,0.9999999999999538,0.0,0.0,0.0
RZUH07,0.05111254639191045,-36.64835696854075,0.6947764394518625,0.9710597275594035,68.10827947932485,2.07817350161167,0.027401696430293748,0,1.0,0.0,0.0,0.0,0.0
RZUH08,0.0240754971397735,-66.8770660553626,0.884032847182485,-0.3196456744627045,0.515558357919765,2.07944097459972,0.0005931002988433501,1,0.0,1.0,0.0,0.0,0.0
RZUH09,0.059250101279193446,-33.44672696888005,0.7020615796166121,0.980897219154274,103.7066598596665,2.0621265780240803,0.09718554128928311,2,3.579618901398964e-48,0.0,1.0,0.0,0.0
RZUH10,0.07175482103904675,-43.140242189288244,0.6804122477715375,0.9054309497688785,20.1485787881604,2.022598445980525,0.18683374220368998,1,1.0987116516650191e-181,1.0,0.0,0.0,0.0
RZUH11,0.131087792690187,-42.1435921000639,0.607258018093013,0.952758642582083,41.3357860424533,2.03327720297492,0.167577372573849,1,0.0022392781246757744,0.997760721875323,0.0,0.0,0.0
RZUH12,0.05220120774203585,-34.71695231455405,0.562352735002599,0.20114186003589124,1.7637428587317654,1.73939547770971,0.434853738688754,1,0.0,1.0,0.0,0.0,0.0
RZUH13,0.04687737575668645,-45.93187325445755,0.734537512019117,0.134252251742284,1.310347229820445,2.078019415897395,0.030070280848839198,1,0.0,1.0,0.0,0.0,0.0
